2994, 1711, 6416
349032, 144147, 32080
1645499, 594552, 73998
3217000, 1331968, 134736
935030, 1098425, 67154
2153648, 1365332, 50900
1539420, 970959, 39779
889262, 1742167, 328501
1292617, 147996, 53895
1505202, 185209, 61166
1877760, 226272, 65016
2268709, 274607, 78703
2759323, 325507, 86830
3110920, 377691, 92391
4104123, 439712, 115916
4299598, 495318, 60311
4903133, 668979, 32508
6232963, 639465, 38924
12770045, 1240861, 56461
10748139, 831946, 58172
9084676, 1548831, 56889
9719008, 1904279, 69721
18069689, 1488092, 63733
14231618, 1869632, 64160
12625043, 1636088, 76137
16943889, 2479155, 85547
16533264, 2450924, 92819
18412733, 2569835, 95385
19127479, 2752478, 91108
19695940, 2803807, 93247
19416628, 4064771, 106078
19685247, 2616886, 95385
22509584, 3054032, 93247
26540992, 3891539, 118055
28591556, 4596018, 117199
28784893, 4708940, 121049
28010691, 5347122, 126610
29490657, 3284154, 94958
30878231, 5081071, 129176
49036461, 3733704, 100090
30254165, 3535662, 97096
31509141, 3689219, 104368
31841919, 3463803, 97523
34551624, 3986068, 109500
34361282, 3880845, 97524
35406240, 4096424, 101373
36886205, 4482241, 116344
39952214, 4768396, 122332
41115654, 5346695, 109073
43377947, 5246604, 115488
43259893, 5466033, 115488
45526891, 5231633, 121905
46667662, 5512656, 132598
49129708, 5674768, 136020
53551211, 6020378, 126182
52743218, 6386092, 128320
55929420, 6856601, 134309
57245990, 6714593, 135164
57576202, 6767632, 136448
62493023, 7611982, 155696
63505472, 7492645, 140724
63537125, 8218939, 146713
69097687, 8107300, 262202
68047597, 8200119, 168100
72903251, 8314324, 153558
74129569, 8511083, 155695
75754536, 8909304, 180505
77985177, 9296832, 166390
80716269, 9338751, 177938
86092905, 10306716, 169811
84067577, 10218603, 178366
86646823, 11711828, 192909
92626994, 10684407, 177938
92304909, 10734452, 246804
94957297, 11015047, 182216
99632019, 11485128, 189487
99276998, 11794380, 210446
102449514, 12193030, 203602
105545036, 12957822, 221995
111283536, 14005346, 224989
116068186, 13576755, 207880
114848284, 13465543, 224561
116826561, 13637066, 242526
120407991, 14294495, 224133
124530935, 14694856, 225844
131206176, 15704312, 225844
128626075, 15253051, 257497
132047960, 15763339, 251080
143657559, 16108522, 254931
135717931, 16014420, 244665
140976512, 16605551, 260919
144210620, 16984096, 265196
144900558, 17289500, 266479
149073973, 17251431, 279312
156309121, 19171108, 392233
159580015, 18210842, 260918
158601783, 18676646, 264768
166626959, 18858006, 300270
174615776, 20738332, 268618
170962914, 20238737, 273751
183336448, 20291776, 308825
187109077, 22514717, 313102
194120946, 22256793, 315241
187555632, 23056658, 322941
187411058, 21717418, 302409
191684136, 22436441, 305403
193234249, 23329126, 298132
196075697, 23013884, 299843
201254292, 23457446, 399505
208727260, 23999816, 332778
210495946, 24650828, 340905
214497413, 24756052, 316952
219845390, 25279600, 329357
223627856, 27300651, 364859
227373109, 26321564, 319946
232121830, 26845112, 325934
233020929, 27023477, 324224
237769649, 28508148, 414476
244551397, 28785749, 354593
243870442, 31054886, 371275
